TOTAL MSG COUNT,MSG 5040 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Data Size (16 bit words),Flag ,Checksum ,GPS Time Tag (sec),Position Format  ,Latitude (degrees),Spare ,Longitude (degrees),Spare ,Elevation ,Elevation Reference ,Elevation Units ,Datum Number ,Time Zone Index ,Hours (hr),Minutes (min),Seconds (sec),Day of Week ,Day of Month (days),Month ,Year (yr (last 2 digits- 00-99)),Velocity Valid ,Ground Speed Units ,Spare ,Ground Speed ,Track ,Track Units ,Spare ,Track North Reference ,Spare ,FOM ,Spare ,TFOM ,Spare ,EHE ,EHE Units ,Spare ,EPE ,EPE Units ,Spare ,Nav Converged ,Elevation Status ,Spare ,Current DOP ,DOP Type  ,Spare ,Software Version ,Hardware Version , Operating Mode , Spare ,Average Count , PRN Code Tracked #1  (0=sv id 32), Reserved #1  (set to 1), Encryption Type #1  , Tracking State #1  , Code Type #1  , Reserved2 #1  (set to 0), Reserved3 #1  (set to 0), Chan #1 Status A/B Valid , J/S #1  (db), C/No #1  (db-hz), PRN Code Tracked #2  (0=sv id 32), Reserved #2  (set to 1), Encryption Type #2  , Tracking State #2  , Code Type #2  , Reserved2 #2  (set to 0), Reserved3 #2  (set to 0), Chan #2 Status A/B Valid , J/S #2  (db), C/No #2  (db-hz), PRN Code Tracked #3  (0=sv id 32), Reserved #3  (set to 1), Encryption Type #3  , Tracking State #3  , Code Type #3  , Reserved2 #3  (set to 0), Reserved3 #3  (set to 0), Chan #3 Status A/B Valid , J/S #3  (db), C/No #3  (db-hz), PRN Code Tracked #4  (0=sv id 32), Reserved #4  (set to 1), Encryption Type #4  , Tracking State #4  , Code Type #4  , Reserved2 #4  (set to 0), Reserved3 #4  (set to 0), Chan #4 Status A/B Valid , J/S #4  (db), C/No #4  (db-hz), PRN Code Tracked #5  (0=sv id 32), Reserved #5  (set to 1), Encryption Type #5  , Tracking State #5  , Code Type #5  , Reserved2 #5  (set to 0), Reserved3 #5  (set to 0), Chan #5 Status A/B Valid , J/S #5  (db), C/No #5  (db-hz),Antenna Source ,Spare ,Prime Power Source  ,Spare ,Prime Power Battery Type , Spare ,Reserved *#1 ,Reserved *#2  ,Reserved *#3  ,Reserved *#4  ,Position Alert ,Corridor Alert ,Buffer Zone Alert ,Number of Visible SVs ,Number of Healthy SVs ,Almanac Age (days),Mask Angle (deg),Days with Keys (days- note 13),(FOUO) Mission Duration  (days),(FOUO) Crypto Message  , Spare ,North Ref Correction ,North Ref Correction Units ,Spare ,Lock Out Status , Spare , LADGPS Status  , Spare ,EVE ,EVE Units , Spare ,Datum Code (6 ascii characters),Checksum ,
23,1,1,'0x81FF','0x13B0','0x0','0x8800','0xE251','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
24,2,2,'0x81FF','0x13B0','0x0','0x9200','0xD851','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
26,3,3,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54456.0003307755,1,        0.0000000000,21536,54658922042359808.0000000000,1,      171.0673675537,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9902648926,      351.7933654785,1,0,1,0,1,0,2,0,        1.0154362917,0,0,        1.4888305664,0,0,1,0,0,        1.7857272625,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7144899368,1,0,0,0,0,0,        1.0888093710,0,0,'WGD   ','0x42C',
33,4,4,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54457.0003307753,1,        0.0000000000,21536,14020831540515176000.0000000000,1,      171.0615997314,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0014038086,      351.7935180664,1,0,1,0,1,0,2,0,        1.0106974840,0,0,        1.4803041220,0,0,1,0,0,        1.7856401205,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,42,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7146663666,1,0,0,0,0,0,        1.0815687180,0,0,'WGD   ','0x1E63',
38,5,5,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54458.0003307755,1,        0.0000000000,21536,7193077267551355900000.0000000000,1,      171.0533447266,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0110168457,      351.7919006348,1,0,1,0,1,0,2,0,        1.0062277317,0,0,        1.4722105265,0,0,1,0,0,        1.7855528593,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,40,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7148418427,1,0,0,0,0,0,        1.0746670961,0,0,'WGD   ','0x3077',
42,6,6,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54459.0003307755,1,        0.0000000000,21536,3690160471639483200000000.0000000000,1,      171.0353851318,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0042114258,      351.7916564941,1,0,1,0,1,0,2,0,        1.0020102262,0,0,        1.4645242691,0,0,1,0,0,        1.7854657173,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,42,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7150182724,1,0,0,0,0,0,        1.0680856705,0,0,'WGD   ','0x886F',
46,7,7,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54460.0003307755,1,        0.0000000000,21536,1893140054665711100000000000.0000000000,1,      171.0379180908,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0011901855,      351.7903442383,1,0,1,0,1,0,2,0,        0.9980292320,0,0,        1.4572218657,0,0,1,0,0,        1.7853784561,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7151947021,1,0,0,0,0,0,        1.0618065596,0,0,'WGD   ','0x2785',
54,8,8,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54461.0003307755,1,        0.0000000000,21536,971202646487113670000000000000.0000000000,1,      171.0361175537,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9910888672,      351.7928161621,1,0,1,0,1,0,2,0,        0.9942702055,0,0,        1.4502810240,0,0,1,0,0,        1.7852911949,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7153711319,1,0,0,0,0,0,        1.0558133125,0,0,'WGD   ','0xE9BC',
58,9,9,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54462.0003307755,1,        0.0000000000,21536,249123053516415250000000000000000.0000000000,1,      171.0239562988,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9927368164,      351.7912292480,1,0,1,0,1,0,2,0,        0.9907195568,0,0,        1.4436812401,0,0,1,0,0,        1.7852039337,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,40,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7155466080,1,0,0,0,0,0,        1.0500906706,0,0,'WGD   ','0xA4D1',
62,10,10,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54463.0003307757,1,        0.0000000000,21536,127801998219249800000000000000000000.0000000000,1,      171.0143890381,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0094604492,      351.7915344238,1,0,1,0,1,0,2,0,        0.9873646498,0,0,        1.4374034405,0,0,1,0,0,        1.7851167917,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7157230377,1,0,0,0,0,0,        1.0446242094,0,0,'WGD   ','0xBCC5',
67,11,11,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54464.0003307757,1,        0.0000000000,21536,65564430509719267000000000000000000000.0000000000,1,      171.0083923340,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0162353516,      351.7904357910,1,0,1,0,1,0,2,0,        0.9841937423,0,0,        1.4314297438,0,0,1,0,0,        1.7850295305,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7158994675,1,0,0,0,0,0,        1.0394006968,0,0,'WGD   ','0x6997',
71,12,12,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54465.0003307755,1,        0.0000000000,21536,        0.0000000000,1,      171.0096130371,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9980163574,      351.7896728516,1,0,1,0,1,0,2,0,        0.9811958671,0,0,        1.4257433414,0,0,1,0,0,        1.7849422693,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7160758972,1,0,0,0,0,0,        1.0344073772,0,0,'WGD   ','0x1653',
75,13,13,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54466.0003307757,1,        0.0000000000,21536,        0.0000000000,1,      170.9946746826,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9875183105,      351.7912292480,1,0,1,0,1,0,2,0,        0.9783608317,0,0,        1.4203284979,0,0,1,0,0,        1.7848550081,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7162513733,1,0,0,0,0,0,        1.0296325684,0,0,'WGD   ','0xE2F5',
79,14,14,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54467.0003307757,1,        0.0000000000,21536,        0.0000000000,1,      170.9746704102,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9997863770,      351.7897033691,1,0,1,0,1,0,2,0,        0.9756790400,0,0,        1.4151707888,0,0,1,0,0,        1.7847676277,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,42,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7164278030,1,0,0,0,0,0,        1.0250651836,0,0,'WGD   ','0x327C',
83,15,15,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54468.0003307757,1,        0.0000000000,21536,        0.0000000000,1,      170.9684600830,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0153503418,      351.7914733887,1,0,1,0,1,0,2,0,        0.9731415510,0,0,        1.4102562666,0,0,1,0,0,        1.7846803665,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7166042328,1,0,0,0,0,0,        1.0206949711,0,0,'WGD   ','0x41EA',
87,16,16,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54469.0003307757,1,        0.0000000000,21536,        0.0000000000,1,      170.9359741211,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0083007813,      351.7886352539,1,0,1,0,1,0,2,0,        0.9599899054,0,0,        1.3976385593,0,0,1,0,0,        1.6563657522,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,42,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7167797089,1,0,0,0,0,0,        1.0157818794,0,0,'WGD   ','0x2890',
92,17,17,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54470.0003307771,1,        0.0000000000,21536,        0.0000000000,1,      170.9076232910,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9880065918,      351.7843322754,1,0,1,0,1,0,2,0,        0.9457491636,0,0,        1.3833312988,0,0,1,0,0,        1.6562933922,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,40,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7169561386,1,0,0,0,0,0,        1.0095365047,0,0,'WGD   ','0xF975',
96,18,18,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54471.0003307778,1,        0.0000000000,21536,        0.0000000000,1,      170.8867340088,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      359.9798889160,      351.7824401855,1,0,1,0,1,0,2,0,        0.9334635735,0,0,        1.3708862066,0,0,1,0,0,        1.6562211514,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,43,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7171325684,1,0,0,0,0,0,        1.0039794445,0,0,'WGD   ','0x4882',
100,19,19,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54472.0003307785,1,        0.0000000000,21536,        0.0000000000,1,      170.8681182861,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0062255859,      351.7860107422,1,0,1,0,1,0,2,0,        0.9221482873,0,0,        1.3592878580,0,0,1,0,0,        1.6561487913,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,40,23,2,0,5,0,0,0,0,0,42,22,3,0,5,0,0,0,0,0,41,21,4,0,5,0,0,0,0,0,40,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7173080444,1,0,0,0,0,0,        0.9986521006,0,0,'WGD   ','0xBD57',
104,20,20,'0x81FF','0x13B0','0x58','0x8000','0xE9F9',    54473.0003307790,1,        0.0000000000,21536,        0.0000000000,1,      170.8551330566,0,0,47,0,0,0,0,0,0,0,0,1,0,0,      360.0077209473,      351.7888183594,1,0,1,0,1,0,2,0,        0.9118019938,0,0,        1.3485523462,0,0,1,0,0,        1.6560764313,0,0,98,2,0,0,0,30,1,0,5,0,0,0,0,0,41,23,2,0,5,0,0,0,0,0,43,22,3,0,5,0,0,0,0,0,42,21,4,0,5,0,0,0,0,0,41,17,5,0,5,0,0,0,0,0,42,1,0,0,0,4,0,0,0,0,0,0,0,0,9,11,-1,        5.0000000000,0,0,0,0,       12.7174844742,1,0,0,0,0,0,        0.9935846925,0,0,'WGD   ','0x1643',
