TOTAL MSG COUNT,MSG 21 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),Spare ,FOM ,TFOM ,Mode ,Latitude (deg),Longitude (deg),MSL Altitude (meters),Absolute Altitude (meters),Velocity N (meters/sec),   Velocity E (meters/sec),Velocity D (meters/sec),Acceleration N (meters/sec2),Acceleration E (meters/sec2),Acceleration D (meters/sec2),Roll (radians),Pitch (radians),Heading (radians),Roll Rate (radians/sec),Pitch Rate (radians/sec),Heading Rate (radians/sec),
1,1,1,'0x81FF',21,84,'0xCBD0',          136.098877,1513,136,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2,2,'0x81FF',21,84,'0xBBCF',          137.098877,1513,137,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,3,3,'0x81FF',21,84,'0xABCE',          138.098877,1513,138,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,4,4,'0x81FF',21,84,'0x9BCD',          139.098877,1513,139,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,5,5,'0x81FF',21,84,'0x3C5F',         1.098876953,1513,1,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,6,6,'0x81FF',21,84,'0x2C5E',         2.098876953,1513,2,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,7,7,'0x81FF',21,84,'0x1C5D',         3.098876953,1513,3,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,8,8,'0x81FF',21,84,'0xC5C',         4.098876953,1513,4,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,9,9,'0x81FF',21,84,'0xFC5B',         5.098876953,1513,5,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,10,10,'0x81FF',21,84,'0xEC5A',         6.098876953,1513,6,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,11,11,'0x81FF',21,84,'0xDC59',         7.098876953,1513,7,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,12,12,'0x81FF',21,84,'0xCC58',         8.098876953,1513,8,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,13,13,'0x81FF',21,84,'0xBC57',         9.098876953,1513,9,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,14,14,'0x81FF',21,84,'0xAC56',         10.09887695,1513,10,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
