TOTAL MSG COUNT,MSG 22 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),Spare ,FOM ,TFOM ,Overall Mode ,RCVR Power Mode ,RCVR Mode ,SparePad ,CAGE Code (6 ascii characters),NAVIO Version ,Trk Version ,Mcp Version  ,Mcp Boot Version  ,SW Version ,HW Version ,Serial Number ,HW Version 2 ,Mcp CRC ,Mcp Boot CRC ,NAVIO CRC ,Checkword1 ,Trk CRC ,TMC Version ,NAVIO PLB Clock ,NAVIO CPU Clock ,NAVIO Thruput (percent),Trk PLB Clock ,Trk CPU Clock ,Trk Thruput (percent),Mcp PLB Clock ,Mcp CPU Clock ,Mcp Thruput (percent),Spare ,Fill Port ,SW Lock Status ,LADGSP Enabled ,LADGSP Applied ,WAGE Enabled ,WAGE Applied ,BFEA Enabled ,BFEA Applied ,EAS Enabled ,Total Loss Power ,Temperature ,Program ID :#1 ,Program ID :#2  ,Program ID :#3  ,Program ID :#4  ,Program ID :#5  ,Program ID :#6  ,Program ID :#7  ,Program ID :#8  ,Program ID :#9  ,Program ID :#10  ,Program ID :#11  ,Program ID :#12  ,Program ID :#13  ,Program ID :#14  ,Program ID :#15  ,Program ID :#16  ,Program ID :#17  ,Program ID :#18  ,Program ID :#19  ,Program ID :#20  ,Program ID :#21  ,Program ID :#22  ,Program ID :#23  ,Program ID :#24  ,MCP Exception Failure ,MCP CPU Failure ,MCP EDRAM Failure ,MCP CLB Failure ,MCP TSF Data Failure ,MCP DS 101/102 Failure ,MCP EEPROM Failure ,TRK Viterbi Failure ,TRK Exceptions Failure ,TRK CPU Failure ,TRK EDRAM Failure ,TRK AUX UART Failure ,TRK DNLD UART Failure ,TRK SP Failure ,TRK FAC Failure ,RFDC Failure ,TRK TLB Failure ,TMC Failure ,NAV Exceptions Failure ,NAV CPU Failure ,NAV FPU Failure ,NAV EDRAM Failure ,NAV Flash Failure ,NAV COM0 UART Failure ,NAV COM1 UART Failure ,NAV COM2 UART Failure ,NAV COM3 UART Failure ,NAV COM4 UART Failure ,Melody Logic Failure ,NAV TLB Failure ,MCP TLB Failure ,RCVR BIT Summary ,TXC Mode ,TXC Power Mode ,CAGE Code (6 ascii characters),TXC Version ,Spare Version ,GEN Version  ,GEN Boot Version  ,SW Version ,HW Version ,Serial Number ,Spare ,HW Version 2 ,TXC PLB Clock ,TXC CPU Clock ,TXC Thruput (percent),Spare PLB Clock ,Spare CPU Clock ,Spare Thruput (percent),GEN PLB Clock ,GEN CPU Clock ,GEN Thruput (percent),EAS Enabled ,Total Loss Power ,Spare ,Temperature ,GEN Exception Failure ,GEN CPU Failure ,GEN EDRAM Failure ,GEN CLB Failure ,GEN TSF Data Failure ,GEN DS 101/102 Failure ,MCP EEPROM Failure ,Spare ,TMC Failure ,TXC Exceptions Failure ,TXC CPU Failure ,TXC FPU Failure ,TXC EDRAM Failure ,TXC Flash Failure ,TXC COM0 UART Failure ,TXC COM1 UART Failure ,TXC COM2 UART Failure ,TXC COM3 UART Failure ,TXC COM4 UART Failure ,Melody Logic Failure ,TXC TLB Failure ,GEN TLB Failure ,TX BIT Summary ,Waveform ,PRN ,Type ,PLT Code Offset ,Frequency ,Attenuation ,
2,1,1,'0x81FF',22,272,'0x39A2',          136.098877,1513,136,       0.09899999993,2,0,0,0,32,32,1026,'    ??','0x11025106','0x11023000','0x11023700','0x11030700','                ','              ?','        ',8224,'0xC2F2EFB6','0x0','0xC9705701','0x0','0x135B7183','0x0',173,11,          7.69921875,4,5,          15.9140625,3,3,            27.65625,0,0,0,0,1,0,1,1,0,0,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,144,514,769,
6,2,2,'0x81FF',22,272,'0x2A28',          137.098877,1513,137,       0.09899999993,2,0,0,0,32,32,1026,'    ??','0x11025106','0x11023000','0x11023700','0x11030700','                ','              ?','        ',8224,'0xC2F2EFB6','0x0','0xC9705701','0x0','0x135B7183','0x0',173,11,          7.19921875,4,5,         15.90234375,3,3,           27.640625,0,0,0,0,1,0,1,1,0,0,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,144,514,769,
10,3,3,'0x81FF',22,272,'0x19B4',          138.098877,1513,138,       0.09899999993,2,0,0,0,32,32,1026,'    ??','0x11025106','0x11023000','0x11023700','0x11030700','                ','              ?','        ',8224,'0xC2F2EFB6','0x0','0xC9705701','0x0','0x135B7183','0x0',173,11,          7.69921875,4,5,          15.8984375,3,3,            27.59375,0,0,0,0,1,0,1,1,0,0,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,144,514,769,
14,4,4,'0x81FF',22,272,'0x9BC',          139.098877,1513,139,       0.09899999993,2,0,0,0,32,32,1026,'    ??','0x11025106','0x11023000','0x11023700','0x11030700','                ','              ?','        ',8224,'0xC2F2EFB6','0x0','0xC9705701','0x0','0x135B7183','0x0',173,11,          7.69921875,4,5,          15.9296875,3,3,              27.625,0,0,0,0,1,0,1,1,0,0,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,                 5.5,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,144,514,769,
17,5,5,'0x81FF',22,272,'0xFA36',          140.098877,1513,140,       0.09899999993,2,0,0,0,32,32,1026,'    ??','0x11025106','0x11023000','0x11023700','0x11030700','                ','              ?','        ',8224,'0xC2F2EFB6','0x0','0xC9705701','0x0','0x135B7183','0x0',173,11,          7.09765625,4,5,            15.90625,3,3,           27.671875,0,0,0,0,1,0,1,1,0,0,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,144,514,769,
19,6,6,'0x81FF',22,272,'0xE918',          141.098877,1513,141,       0.09899999993,2,0,0,0,32,32,1026,'    ??','0x11025106','0x11023000','0x11023700','0x11030700','                ','              ?','        ',8224,'0xC2F2EFB6','0x0','0xC9705701','0x0','0x135B7183','0x0',173,11,            8.296875,4,5,          15.9140625,3,3,           27.578125,0,0,0,0,1,0,1,1,0,0,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,144,514,769,
22,7,7,'0x81FF',22,272,'0xFC0A',         1.098876953,1513,1,       0.09899999993,1,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x0','0x0','                ','                ','        ',0,2,173,11,                   0,0,0,                   0,0,0,                   0,0,0,1,0,0,0,0,0,0,0,0,'0x0',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
25,8,8,'0x81FF',22,272,'0x59A8',         2.098876953,1513,2,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,                 5.5,0,0,                   0,3,3,                   0,0,0,1,   -1.123197555e+038,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
28,9,9,'0x81FF',22,272,'0x492D',         3.098876953,1513,3,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,                 5.5,0,0,                   0,3,3,                   0,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
31,10,10,'0x81FF',22,272,'0x392B',         4.098876953,1513,4,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,                 5.5,0,0,                   0,3,3,                   0,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
