TOTAL MSG COUNT,MSG 23 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),PLA Word #1 ,PLA Word #2  ,PLA Word #3  ,PLA Word #4  ,PLA Word #5  ,PLA Word #6  ,PLA Word #7  ,PLA Word #8  ,PLA Word #9  ,PLA Word #10  ,PLT Word #1 ,PLT Word #2  ,PLT Word #3  ,PLT Word #4  ,PLT Word #5  ,PLT Word #6  ,PLT Word #7  ,PLT Word #8  ,PLT Word #9  ,PLT Word #10  ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,TX LVR E ,TX LVR N ,TX LVR U ,RX LVR E ,RX LVR N ,RX LVR U ,PLT Word Index ,PLA Word Index ,Frame Start ,PLT Offset Index ,PRN ,Type ,Waveform ,Attenuation (db),Frequency ,PLA Code Offset (ms),Delta_Corr #1 ,Delta_Corr #2  ,Delta_Corr #3  ,Delta_V_M0 #1 ,Delta_V_M0 #2  ,Delta_V_M0 #3  ,Delta_V_M1 #1 ,Delta_V_M1 #2  ,Delta_V_M1 #3  ,Delta_V_M2 #1 ,Delta_V_M2 #2  ,Delta_V_M2 #3  ,Delta_V_M3 #1 ,Delta_V_M3 #2  ,Delta_V_M3 #3  ,Delta_V_M4 #1 ,Delta_V_M4 #2  ,Delta_V_M4 #3  ,Lat Obs ,Lon Obs ,Alt Obs ,
426,1,1,'0x81FF',23,296,'0x5238',                   0,1899,54439,               0.531,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,2,2,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
428,2,2,'0x81FF',23,296,'0xCB4D',                   0,1899,54439,        0.8019999999,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,3,3,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
432,3,3,'0x81FF',23,296,'0x9817',                   0,1899,54440,        0.4019999998,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,4,4,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
433,4,4,'0x81FF',23,296,'0x56B',                   0,1899,54439,        0.4309999999,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,2,2,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
435,5,5,'0x81FF',23,296,'0xCB4D',                   0,1899,54439,        0.8019999999,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,3,3,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
439,6,6,'0x81FF',23,296,'0x9817',                   0,1899,54440,        0.4019999998,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,4,4,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
441,7,7,'0x81FF',23,296,'0x64E0',                   0,1899,54441,      0.001999999862,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,5,5,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
445,8,8,'0x81FF',23,296,'0xC2CF',                   0,1899,54442,        0.4109999998,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,7,7,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
447,9,9,'0x81FF',23,296,'0xCB40',                   0,1899,54442,        0.8019999999,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,8,8,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
451,10,10,'0x81FF',23,296,'0x980A',                   0,1899,54443,        0.4019999998,0,0,16,0,0,0,0,0,0,0,0,0,268435508,0,0,0,0,0,0,0,1899,36293,54439,0,1899,36293,54439,600,1899,36293,54439,1200,1899,36294,54439,300,1899,36294,54439,900,1899,36295,54439,0,1899,36295,54439,600,1899,36295,54439,1200,1899,36296,54439,300,1899,36296,54439,900,0,0,0,0,0,0,9,9,54439,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
453,11,11,'0x81FF',23,296,'0xE288',                   0,1899,54444,      0.001999999862,578833711,0,0,0,0,0,0,0,0,0,578813983,0,0,0,0,0,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,0,0,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
