TOTAL MSG COUNT,MSG 26 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum , Time Stamp (seconds), GPS Week , GPS Seconds (second), GPS Sec. (Fraction) (second), Delta_Vel_X (m/sec), Delta_Vel_Y (m/sec), Delta_Vel_Z (m/sec), Delta_Att_X (rad/sec), Delta_Att_Y (rad/sec), Delta_Att_Z (rad/sec), Lever_Arm_X (meter), Lever_Arm_Y (meter), Lever_Arm_Z (meter), Acc_Bias_X (ug), Acc_Bias_Y (ug), Acc_Bias_Z (ug), Gyro_Bias_X (deg/hr), Gyro_Bias_Y (deg/hr), Gyro_Bias_Z (deg/hr), Acc_Scale_Fac_X (ppm), Acc_Scale_Fac_Y (ppm), Acc_Scale_Fac_Z (ppm),Gyro_Scale_Fac_X (ppm),Gyro_Scale_Fac_Y (ppm),Gyro_Scale_Fac_Z (ppm),Mounting_Angle_X (degrees),Mounting_Angle_Y (degrees),Mounting_Angle_Z (degrees),Comp_delta_vel_X (m/s),Comp_delta_vel_Y (m/s),Comp_delta_vel_Z (m/s),Base_Accel_SF_X (ppm),Base_Accel_SF_Y (ppm),Base_Accel_SF_Z (ppm),Base_Gyro_SF_X (ppm),Base_Gyro_SF_Y (ppm),Base_Gyro_SF_Z (ppm),Align_Heading (degree),Align_Pitch (degree),Align_Roll (degree),ECEF POS_X (m),ECEF POS_Y (m),ECEF POS_Z (m),VEL_N (m/s),VEL_E (m/s),VEL_D (m/s),ACC_N (m/s^2),ACC_E (m/s^2),ACC_D (m/s^2),Heading (degree),Pitch (degree),Roll (degree),Heading Rate (degree),Pitch Rate (degree),Roll Rate (degree),Checksum Failure Count ,IMU Health ,Spare1 ,Comp delta Vector Valid ,IMU Health Out Latch ,Mounting Angle Valid ,IMU Valid ,Platform Valid ,IMU Make ,Platform ,Align Command ,Align Method ,Align Status ,Align Mode ,Attitude Data Avail ,Heading Data Avail ,Velocity Data Avail ,In Motion Valid ,Ready to Align ,Need To Align ,Spare ,Filter Hold Control ,Filter Sub Mode ,Filter Mode ,Lever Arm Enable ,INS State ,Tracker Aiding Enable ,Tracker Static Aiding ,Sim Perfect IMU ,ZUPT control ,Spare , MSec Fraction (second),TOA (millsecond),IMU System Time ,Comp_delta_att_X (rad/s),Comp_delta_att_Y (rad/s),Comp_delta_att_Z (rad/s),
4,1,1,'0x81FF',26,312,'0x7B4E',         54309.09888,1899,54308,        0.4800615674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
8,2,2,'0x81FF',26,312,'0xADDC',         54310.09888,1899,54309,        0.5000615674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
12,3,3,'0x81FF',26,312,'0xE06B',         54311.09888,1899,54310,        0.5200615674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
16,4,4,'0x81FF',26,312,'0x12F9',         54312.09888,1899,54311,        0.5400615674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
18,5,5,'0x81FF',26,312,'0x4587',         54313.09888,1899,54312,        0.5600615675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
20,6,6,'0x81FF',26,312,'0x7816',         54314.09888,1899,54313,        0.5800615675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
69,7,7,'0x81FF',26,312,'0x6B1A',         1.098876953,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                   0,0,0,0,0,0,
73,8,8,'0x81FF',26,312,'0x5B1A',         2.098876953,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                   0,0,0,0,0,0,
77,9,9,'0x81FF',26,312,'0x4B1A',         3.098876953,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                   0,0,0,0,0,0,
81,10,10,'0x81FF',26,312,'0xC911',         4.098876953,1513,3,        0.1199999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
